,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,ko samui,9.5357,99.9357,27.95,78,20,1.54,TH,1627566939
85,hithadhoo,-0.6,73.0833,27.38,76,100,3.72,MV,1627566941
86,provideniya,64.3833,-173.3,7.42,91,97,3.92,RU,1627566943
87,upernavik,72.7868,-56.1549,5.87,97,100,8.97,GL,1627566945
88,ilulissat,69.2167,-51.1,7.34,82,100,1.47,GL,1627566947
89,portland,45.5234,-122.6762,19.69,74,20,1.34,US,1627566169
90,geraldton,-28.7667,114.6,19.23,68,90,8.23,AU,1627566950
91,guarapari,-20.6667,-40.4975,18.94,80,100,7.22,BR,1627566952
92,chicama,-7.8447,-79.1469,16.3,77,41,1.96,PE,1627566405
93,jamestown,42.097,-79.2353,20.04,94,90,2.68,US,1627566956
94,tasiilaq,65.6145,-37.6368,8.05,65,60,1.07,GL,1627566958
95,coahuayana,18.7333,-103.6833,26.56,80,77,1.34,MX,1627566959
96,thompson,55.7435,-97.8558,12.09,82,20,0.0,CA,1627566961
97,norman wells,65.282,-126.8329,14.02,94,90,1.03,CA,1627566965
98,port macquarie,-31.4333,152.9167,6.98,58,0,2.94,AU,1627566967
99,terekli-mekteb,44.1671,45.8698,33.1,18,0,8.34,RU,1627566968
100,pangnirtung,66.1451,-65.7125,10.0,76,1,4.12,CA,1627566970
101,broken hill,-31.95,141.4333,7.84,53,0,4.63,AU,1627566438
102,porbandar,21.6422,69.6093,27.99,83,75,4.12,IN,1627566974
103,shenjiamen,29.9576,122.298,26.46,94,100,8.37,CN,1627566977
104,sao filipe,14.8961,-24.4956,24.05,77,88,4.18,CV,1627566979
105,kavaratti,10.5669,72.642,27.9,79,91,6.67,IN,1627566981
106,inongo,-1.95,18.2667,25.49,34,98,1.36,CD,1627566983
107,chiredzi,-21.05,31.6667,25.84,23,15,1.95,ZW,1627566985
108,kysyl-syr,63.8986,122.7617,13.41,54,12,1.53,RU,1627566986
109,port lincoln,-34.7333,135.8667,14.7,59,100,5.33,AU,1627566988
110,jinka,5.65,36.65,21.29,55,100,1.61,ET,1627566990
111,bemidji,47.4736,-94.8803,18.43,85,1,2.57,US,1627566899
112,mahebourg,-20.4081,57.7,22.16,64,40,7.2,MU,1627566995
113,novobelokatay,55.7062,58.9549,20.46,46,15,4.76,RU,1627566997
114,amot,59.5714,7.9877,16.53,88,100,0.57,NO,1627566999
115,longyearbyen,78.2186,15.6401,7.91,71,75,3.6,SJ,1627567001
116,port alfred,-33.5906,26.891,18.32,60,6,12.01,ZA,1627567003
117,corinto,37.9407,22.9573,42.02,31,0,3.6,GR,1627567006
118,klaksvik,62.2266,-6.589,13.51,95,100,3.53,FO,1627567008
119,totness,5.8833,-56.3167,27.65,73,2,2.56,SR,1627567012
120,puerto ayora,-0.7393,-90.3518,22.67,81,59,3.32,EC,1627566776
121,jumla,29.2747,82.1838,18.19,96,100,1.19,NP,1627567015
122,chapais,49.7834,-74.8492,13.88,95,100,3.72,CA,1627567017
123,ukiah,39.1502,-123.2078,25.76,54,27,0.9,US,1627567019
124,waipawa,-41.4122,175.5153,11.36,90,33,2.15,NZ,1627567021
125,deputatskiy,69.3,139.9,3.3,82,51,1.68,RU,1627567023
126,estacion coahuila,32.1939,-115.0017,33.87,29,93,2.46,MX,1627567025
127,seoul,37.5683,126.9778,27.78,72,0,2.57,KR,1627566913
128,turochak,52.2576,87.1224,16.1,68,100,1.25,RU,1627567028
129,nisia floresta,-6.0911,-35.2086,29.21,48,42,5.22,BR,1627567030
130,barrow,71.2906,-156.7887,10.01,97,90,2.06,US,1627567032
131,yangliuqing,39.1375,116.9997,20.97,97,100,9.32,CN,1627567034
132,salalah,17.0151,54.0924,25.84,88,86,6.57,OM,1627567035
133,kharp,66.8014,65.8081,13.61,75,100,3.13,RU,1627567037
134,tombouctou,20.0,-3.0,40.2,25,41,5.17,ML,1627567039
135,hermanus,-34.4187,19.2345,15.45,78,83,3.77,ZA,1627567043
136,los llanos de aridane,28.6585,-17.9182,22.86,78,75,6.69,ES,1627567044
137,tura,25.5198,90.2201,23.56,95,100,2.9,IN,1627567046
138,pontes e lacerda,-15.2261,-59.3353,18.99,15,56,4.54,BR,1627567048
139,aksu,41.1231,80.2644,35.11,14,6,3.7,CN,1627567052
140,tuktoyaktuk,69.4541,-133.0374,11.0,93,90,3.6,CA,1627567054
141,saint-philippe,-21.3585,55.7679,21.77,82,46,7.88,RE,1627567057
142,kavieng,-2.5744,150.7967,28.02,75,2,2.63,PG,1627567059
143,clyde river,70.4692,-68.5914,11.13,66,20,5.14,CA,1627567061
144,puerto escondido,15.85,-97.0667,26.85,78,98,1.76,MX,1627567063
145,guerrero negro,27.9769,-114.0611,21.12,86,0,4.46,MX,1627567065
146,port elizabeth,-33.918,25.5701,18.39,63,20,11.32,ZA,1627566871
147,verkhnevilyuysk,63.4453,120.3167,13.62,55,18,1.05,RU,1627567068
148,asau,46.4333,26.4,33.31,31,1,5.06,RO,1627567070
149,carutapera,-1.195,-46.02,30.07,63,22,3.34,BR,1627567072
150,ancud,-41.8697,-73.8203,3.74,83,6,0.76,CL,1627567074
151,saint anthony,45.0205,-93.218,25.5,77,3,4.47,US,1627567077
152,iquitos,-3.7481,-73.2472,24.02,88,75,3.09,PE,1627566905
153,tawau,4.2498,117.8871,27.07,87,57,2.13,MY,1627567081
154,bastia,42.6667,9.3333,30.01,72,0,3.6,FR,1627567083
155,suntar,62.1444,117.6319,15.12,55,7,2.58,RU,1627567085
156,esperance,-33.8667,121.9,15.91,69,0,12.25,AU,1627567087
157,kapaa,22.0752,-159.319,23.99,78,34,4.93,US,1627567088
158,caranavi,-15.8167,-67.55,8.91,99,100,0.9,BO,1627567092
159,ahuimanu,21.4447,-157.8378,25.42,79,54,5.21,US,1627567094
160,new norfolk,-42.7826,147.0587,8.29,76,100,0.45,AU,1627567096
161,mbini,1.574,9.6134,27.91,74,38,4.26,GQ,1627567100
162,abu dhabi,24.4667,54.3667,38.06,60,69,5.14,AE,1627566426
163,lebu,-37.6167,-73.65,11.03,62,0,1.29,CL,1627567105
164,marsani,44.0167,24.0167,38.33,15,8,4.34,RO,1627567107
165,souillac,-20.5167,57.5167,22.21,64,40,7.2,MU,1627567109
166,birjand,32.8663,59.2211,32.26,7,0,11.32,IR,1627567111
167,kalmunai,7.4167,81.8167,28.53,78,98,2.22,LK,1627567112
168,louis trichardt,-23.0439,29.9032,23.08,14,10,3.15,ZA,1627567114
169,puerto ayacucho,5.6639,-67.6236,25.76,80,88,0.37,VE,1627567116
170,hofn,64.2539,-15.2082,14.01,82,20,3.6,IS,1627567118
171,vichuga,57.2128,41.9301,18.89,86,100,2.32,RU,1627567121
172,antofagasta,-23.65,-70.4,17.34,63,20,2.76,CL,1627567123
173,makokou,0.5738,12.8642,29.19,70,75,1.63,GA,1627567125
174,vidim,56.4088,103.1106,15.12,97,73,3.53,RU,1627567127
175,dzhebariki-khaya,62.2167,135.8,14.6,76,99,2.61,RU,1627567129
176,san juan de uraba,8.7592,-76.5297,26.34,90,100,3.64,CO,1627567130
177,kedougou,12.5579,-12.1743,27.85,77,100,1.91,SN,1627567132
178,alyangula,-13.8483,136.4192,20.93,100,29,0.51,AU,1627567134
179,shimoda,34.6667,138.95,23.39,89,5,2.93,JP,1627567136
180,jiuquan,39.7432,98.5174,29.61,14,0,4.03,CN,1627567138
181,conde,-7.2597,-34.9075,28.7,58,75,4.12,BR,1627567140
182,cabo san lucas,22.8909,-109.9124,29.73,74,2,1.34,MX,1627566921
183,lazaro cardenas,17.9583,-102.2,25.89,85,57,2.58,MX,1627567145
184,bay roberts,47.5999,-53.2648,19.17,92,100,2.24,CA,1627567147
185,port hardy,50.6996,-127.4199,12.1,100,90,0.0,CA,1627567149
186,richards bay,-28.783,32.0377,21.83,36,0,4.34,ZA,1627567151
187,beroroha,-21.6667,45.1667,28.55,31,7,3.98,MG,1627567153
188,east london,-33.0153,27.9116,19.52,55,0,10.8,ZA,1627567154
189,ponta do sol,32.6667,-17.1,25.35,59,25,1.86,PT,1627567156
190,xiaolingwei,32.0333,118.85,26.03,89,0,2.72,CN,1627567158
191,enumclaw,47.2043,-121.9915,17.09,83,6,1.22,US,1627567160
192,ribeira grande,38.5167,-28.7,24.22,78,75,5.66,PT,1627567162
193,castro,-24.7911,-50.0119,4.88,43,3,3.9,BR,1627567164
194,saint-augustin,51.226,-58.6502,15.11,79,89,3.73,CA,1627567165
195,meulaboh,4.1363,96.1285,26.14,82,100,0.29,ID,1627567167
196,mecca,21.4267,39.8261,38.67,24,100,5.94,SA,1627567169
197,kodiak,57.79,-152.4072,9.96,89,98,1.19,US,1627567171
198,sazonovo,59.0919,35.2268,25.98,42,85,4.04,RU,1627567173
199,fairbanks,64.8378,-147.7164,13.11,93,100,1.29,US,1627567176
200,abadan,30.3392,48.3043,44.97,10,0,7.2,IR,1627567178
201,cartagena,10.3997,-75.5144,28.79,79,0,1.03,CO,1627567074
202,huambo,-12.7761,15.7392,24.89,23,0,5.14,AO,1627567182
203,baghmara,23.795,86.2085,26.06,91,100,5.69,IN,1627567183
204,freeport,40.6576,-73.5832,25.73,80,75,1.79,US,1627566904
205,karlshamn,56.1706,14.8619,21.06,47,12,8.9,SE,1627567187
206,urumqi,43.801,87.6005,31.53,21,0,3.0,CN,1627567189
207,lagoa,39.05,-27.9833,21.23,81,76,3.15,PT,1627567191
208,shalinskoye,55.7228,93.7594,12.53,78,100,0.97,RU,1627567192
209,chirkey,42.9613,46.9787,24.53,35,100,4.81,RU,1627567195
210,san patricio,28.017,-97.5169,29.37,72,54,2.01,US,1627567197
211,cidreira,-30.1811,-50.2056,8.22,67,81,7.86,BR,1627567199
212,neiafu,-18.65,-173.9833,24.46,73,96,6.42,TO,1627567201
213,mount isa,-20.7333,139.5,16.87,45,3,2.57,AU,1627567211
214,victoria,22.2855,114.1577,30.54,87,98,0.45,HK,1627567213
215,aranos,-24.1333,19.1167,22.41,14,0,3.79,NA,1627567214
216,samarai,-10.6167,150.6667,26.4,87,54,3.22,PG,1627567217
217,vestmannaeyjar,63.4427,-20.2734,13.86,81,100,2.11,IS,1627567219
218,lengshuijiang,27.6881,111.4294,28.11,74,46,0.53,CN,1627567221
219,hami,42.8,93.45,37.11,13,0,3.18,CN,1627567222
220,charyshskoye,51.3978,83.5598,16.54,72,100,1.66,RU,1627567225
221,jiupu,41.0667,122.95,22.14,94,99,2.81,CN,1627567228
222,nanortalik,60.1432,-45.2371,8.41,81,64,5.03,GL,1627567234
223,tilichiki,60.4667,166.1,5.93,73,43,1.31,RU,1627567238
224,torbay,47.6666,-52.7314,18.75,90,100,2.24,CA,1627567239
225,sinnamary,5.3833,-52.95,28.06,73,3,2.31,GF,1627567241
226,saskylakh,71.9167,114.0833,23.87,56,20,3.14,RU,1627567243
227,alta floresta,-9.8756,-56.0861,23.52,30,0,3.78,BR,1627567207
228,nikki,9.9401,3.2108,27.7,65,94,2.76,BJ,1627567247
229,collie,-33.3667,116.15,9.43,93,100,7.07,AU,1627567249
230,chunoyar,57.4467,97.3217,13.12,90,100,1.97,RU,1627567251
231,khasan,42.4308,130.6434,24.46,89,100,1.26,RU,1627567253
232,aklavik,68.2191,-135.0107,14.48,81,100,3.33,CA,1627567255
233,pindiga,9.9833,10.9333,27.99,62,72,3.11,NG,1627567257
234,camacha,33.0833,-16.3333,23.42,60,20,7.2,PT,1627567259
235,kloulklubed,7.0419,134.2556,29.19,74,31,1.68,PW,1627567261
236,killybegs,54.6333,-8.45,15.81,76,100,4.76,IE,1627567263
237,mirzapur,25.15,82.5833,27.98,83,100,6.33,IN,1627567265
238,nyurba,63.2842,118.3319,13.96,54,7,1.29,RU,1627567268
239,dunedin,-45.8742,170.5036,8.22,86,39,8.05,NZ,1627567270
240,mackenzie,55.2999,-123.1698,12.57,85,33,0.26,CA,1627567272
241,kaunas,54.9,23.9,27.1,47,40,3.09,LT,1627567274
242,saint-leu,-21.15,55.2833,21.48,72,93,3.06,RE,1627567276
243,faanui,-16.4833,-151.75,25.15,77,47,5.48,PF,1627567278
244,bucerias,20.75,-105.3333,25.55,88,98,1.11,MX,1627567207
245,boksitogorsk,59.474,33.8485,23.67,54,100,2.83,RU,1627567282
246,iqaluit,63.7506,-68.5145,8.72,70,24,1.34,CA,1627567284
247,pathein,16.7833,94.7333,26.66,86,86,4.5,MM,1627567288
248,hargeysa,9.56,44.065,25.19,46,82,11.72,SO,1627567290
249,lasa,46.6166,10.7002,28.35,61,68,2.43,IT,1627567292
250,okha,53.5739,142.9478,16.77,99,100,4.26,RU,1627567294
251,sorland,67.667,12.6934,13.04,85,0,14.09,NO,1627567296
252,itoman,26.1247,127.6694,28.01,89,20,2.57,JP,1627567300
253,autun,46.95,4.3,26.2,39,6,2.1,FR,1627567303
254,mar del plata,-38.0023,-57.5575,10.07,78,0,0.45,AR,1627567133
255,khani,41.9563,42.9566,23.76,86,82,1.33,GE,1627567307
256,praia da vitoria,38.7333,-27.0667,22.37,77,92,4.01,PT,1627567309
257,nishihara,26.1842,127.7558,27.6,89,20,2.57,JP,1627567311
258,flinders,-34.5833,150.8552,10.21,62,0,3.11,AU,1627567313
259,gat,31.61,34.7642,33.55,41,0,6.29,IL,1627567315
260,bosaso,11.2842,49.1816,31.15,58,100,1.98,SO,1627567317
261,tomatlan,19.9333,-105.25,23.93,89,84,1.51,MX,1627567319
262,port arthur,38.8,121.2667,26.12,85,100,10.47,CN,1627567325
