,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,blagoveshchensk,50.2667,127.5333,20.21,82,91,1.4,RU,1627567547
368,saravan,39.7196,45.6483,20.36,48,74,3.6,AM,1627567551
369,shelburne,44.0787,-80.2041,18.19,97,100,4.7,CA,1627567553
370,saquena,-4.6667,-73.5167,26.43,66,20,3.33,PE,1627567555
371,ossora,59.2353,163.0719,10.58,90,100,2.7,RU,1627567557
372,kieta,-6.2167,155.6333,26.51,84,30,2.6,PG,1627567559
373,husavik,66.0449,-17.3389,10.01,96,100,0.8,IS,1627567560
374,beloha,-25.1667,45.05,24.51,51,3,4.92,MG,1627567562
375,koumac,-20.5667,164.2833,19.58,77,28,1.88,NC,1627567564
376,gamba,-2.65,10.0,26.29,66,45,5.37,GA,1627567569
377,davila,18.4726,120.5763,27.97,82,100,9.25,PH,1627567571
378,zasechnoye,53.1092,45.0764,22.6,75,100,2.7,RU,1627567573
379,letlhakeng,-24.0944,25.0298,22.9,15,0,4.96,BW,1627567575
380,kintampo,8.0563,-1.7306,28.88,53,99,3.51,GH,1627567577
381,constitucion,-35.3333,-72.4167,12.6,55,0,1.63,CL,1627567579
382,goundam,16.4145,-3.6708,34.46,40,72,1.38,ML,1627567581
383,noumea,-22.2763,166.4572,21.11,99,19,3.03,NC,1627567205
384,saint-georges,12.0564,-61.7485,25.88,86,100,6.31,GD,1627567430
385,karasburg,-28.0167,18.75,18.55,16,0,2.21,NA,1627567586
386,zelenoborskiy,66.845,32.3622,12.16,88,100,4.2,RU,1627567588
387,vardo,70.3705,31.1107,9.11,85,95,3.42,NO,1627567590
388,kaduy,59.2,37.15,19.02,44,83,4.58,RU,1627567592
389,manakara,-22.1333,48.0167,20.58,84,71,5.69,MG,1627567594
390,pauini,-7.7136,-66.9764,23.54,30,32,3.55,BR,1627567595
391,hamilton,39.1834,-84.5333,25.99,90,1,1.34,US,1627567373
392,sao felix do xingu,-6.6447,-51.995,33.25,27,0,2.03,BR,1627567599
393,zigong,29.3416,104.7769,28.22,74,0,0.89,CN,1627567601
394,najran,17.4924,44.1277,37.7,11,73,7.82,SA,1627567603
395,gorontalo,0.5412,123.0595,24.57,92,11,1.18,ID,1627567604
396,cayenne,4.9333,-52.3333,31.02,76,20,0.89,GF,1627567485
397,sumenep,-7.0167,113.8667,26.59,79,60,4.23,ID,1627567608
398,alamosa,37.4695,-105.87,17.73,72,1,0.0,US,1627567501
399,balkhash,46.844,74.9804,24.5,32,57,4.42,KZ,1627567611
400,andra,62.5147,65.8878,10.85,64,84,3.02,RU,1627567613
401,yeppoon,-23.1333,150.7333,18.88,74,0,2.77,AU,1627567615
402,lorengau,-2.0226,147.2712,27.54,78,12,2.0,PG,1627567617
403,harstad,68.799,16.5293,16.55,96,85,2.24,NO,1627567619
404,half moon bay,37.4636,-122.4286,19.67,90,90,0.0,US,1627567606
405,kormilovka,55.0026,74.1028,19.86,45,11,1.65,RU,1627567623
406,yumen,40.2833,97.2,31.27,11,0,5.33,CN,1627567626
407,narsaq,60.9167,-46.05,12.12,71,100,2.36,GL,1627567629
408,vestmanna,62.1564,-7.1664,12.51,94,90,4.12,FO,1627567631
409,henties bay,-22.116,14.2845,17.14,64,0,6.41,NA,1627567633
410,atar,20.5169,-13.0499,39.64,18,13,5.33,MR,1627567634
411,changchun,43.88,125.3228,23.1,83,100,2.08,CN,1627567404
412,moerai,-22.4333,-151.3333,21.66,70,7,3.68,PF,1627567638
413,ariquemes,-9.9133,-63.0408,22.0,23,2,4.45,BR,1627567640
414,waingapu,-9.6567,120.2641,23.89,85,10,3.87,ID,1627567642
415,severobaykalsk,55.65,109.3167,14.9,70,44,1.21,RU,1627567643
416,manikpur,25.0667,81.1167,24.97,91,100,6.29,IN,1627567645
417,talnakh,69.4865,88.3972,17.93,63,72,2.43,RU,1627567647
418,izamal,20.9333,-89.0167,26.99,66,46,2.27,MX,1627567649
419,ostrovskoye,57.8057,42.2433,19.88,80,97,2.67,RU,1627567651
420,garh maharaja,30.8339,71.9053,37.48,45,61,4.15,PK,1627567653
421,dolores,-36.3132,-57.6792,7.78,52,12,4.99,AR,1627567655
422,college,64.8569,-147.8028,13.7,92,75,2.57,US,1627567561
423,dingle,10.9995,122.6711,25.76,88,100,3.02,PH,1627567658
424,claresholm,50.0333,-113.5852,18.45,48,100,1.63,CA,1627567660
425,carauari,-4.8828,-66.8958,27.78,46,53,3.44,BR,1627567662
426,somotillo,13.0433,-86.9064,28.08,64,78,2.27,NI,1627567664
427,merauke,-8.4667,140.3333,25.44,86,31,5.85,ID,1627567666
428,termoli,41.9888,14.9895,34.32,52,0,4.43,IT,1627567668
429,yulara,-25.2406,130.9889,14.91,55,0,1.54,AU,1627567670
430,verkhoyansk,67.5447,133.385,10.17,60,66,1.9,RU,1627567671
431,seminole,28.7086,-81.2081,30.66,84,1,0.89,US,1627567645
432,ouegoa,-20.35,164.4333,19.92,75,2,1.3,NC,1627567675
433,zonguldak,41.25,31.8333,25.47,28,0,3.82,TR,1627567677
434,komsomolskiy,40.4272,71.7189,32.68,13,95,8.62,UZ,1627567679
435,buraydah,26.326,43.975,43.48,8,85,5.72,SA,1627567680
436,raudeberg,61.9875,5.1352,22.78,94,100,3.25,NO,1627567682
437,saint george,37.1041,-113.5841,30.35,43,1,0.89,US,1627567626
438,hamadan,34.7992,48.5146,31.28,18,60,7.41,IR,1627567686
439,qiongshan,20.0058,110.3542,28.31,84,100,1.69,CN,1627567688
440,touros,-5.1989,-35.4608,29.5,56,67,6.51,BR,1627567690
441,yaan,7.3833,8.5667,28.42,67,74,2.49,NG,1627567691
442,sigli,5.3848,95.9609,28.32,74,100,3.6,ID,1627567693
443,kahului,20.8947,-156.47,24.91,92,1,1.54,US,1627567695
444,espinosa,-14.9261,-42.8192,30.13,26,0,3.46,BR,1627567698
445,ust-kuyga,70.0167,135.6,9.38,64,98,2.43,RU,1627567700
446,lengshuitan,26.4111,111.5956,30.0,61,0,0.47,CN,1627567702
447,were ilu,10.6,39.4333,18.29,68,100,3.38,ET,1627567703
448,santa catarina de tepehuanes,25.35,-105.7333,18.76,54,26,1.19,MX,1627567707
449,vieira de leiria,39.8695,-8.9324,33.4,62,9,6.48,PT,1627567709
450,nnewi,6.0199,6.9148,29.06,58,96,3.34,NG,1627567711
451,sampit,-2.5333,112.95,23.98,91,49,1.41,ID,1627567713
452,vanimo,-2.6741,141.3028,26.54,87,52,2.03,PG,1627567715
453,rochegda,62.8,43.25,22.71,46,100,1.32,RU,1627567719
454,macklin,52.3334,-109.9348,21.08,39,100,2.12,CA,1627567721
455,aguimes,27.9054,-15.4461,25.35,57,20,11.83,ES,1627567723
456,ayagoz,47.9714,80.4392,20.8,27,100,7.08,KZ,1627567725
457,hobyo,5.3505,48.5268,26.57,70,90,12.27,SO,1627567727
458,dukat,62.55,155.55,0.87,97,100,1.85,RU,1627567729
459,miami,25.7743,-80.1937,32.22,75,40,0.0,US,1627567630
460,staryy saltiv,50.0827,36.7939,29.75,49,95,2.67,UA,1627567732
461,mehamn,71.0357,27.8492,9.95,85,100,3.56,NO,1627567734
462,xining,36.6167,101.7667,17.79,38,20,1.2,CN,1627567736
463,siverek,37.755,39.3167,37.34,15,0,4.55,TR,1627567738
464,massa marittima,43.049,10.8928,35.65,42,0,3.89,IT,1627567739
465,majene,-3.5403,118.9707,26.24,84,95,2.33,ID,1627567640
466,sahuaripa,29.05,-109.2333,25.57,66,17,1.14,MX,1627567743
467,oussouye,12.485,-16.5469,27.74,67,100,2.12,SN,1627567745
468,kutum,14.2,24.6667,31.59,36,95,3.9,SD,1627567747
469,itamaraca,-7.7478,-34.8256,29.38,64,31,3.56,BR,1627567749
470,luanda,-8.8368,13.2343,25.0,73,20,5.14,AO,1627567751
471,iralaya,15.0,-83.2333,27.05,82,100,4.51,HN,1627567753
472,tual,-5.6667,132.75,27.57,82,98,5.9,ID,1627567755
473,itamarandiba,-17.8572,-42.8589,26.37,35,0,1.41,BR,1627567757
474,havoysund,70.9963,24.6622,8.49,85,100,6.09,NO,1627567759
475,maceio,-9.6658,-35.7353,28.69,61,40,2.57,BR,1627567761
476,hervey bay,-25.2986,152.8535,15.06,53,0,6.54,AU,1627567763
477,normandin,48.8333,-72.5321,16.55,74,100,3.42,CA,1627567765
478,fare,-16.7,-151.0167,25.27,76,24,5.34,PF,1627567767
479,murindo,6.9848,-76.7544,26.33,91,99,1.32,CO,1627567770
480,luganville,-15.5333,167.1667,24.58,87,80,1.07,VU,1627567772
481,nome,64.5011,-165.4064,9.04,93,90,7.2,US,1627567774
482,parabel,58.6978,81.4825,13.98,76,9,2.02,RU,1627567776
483,bondowoso,-7.9135,113.8214,23.43,88,48,1.56,ID,1627567778
484,santo antonio do leverger,-15.8656,-56.0767,17.21,15,0,4.99,BR,1627567780
485,kjollefjord,70.9457,27.3465,9.88,81,100,4.19,NO,1627567782
486,valer,60.6785,11.8331,16.61,88,100,2.98,NO,1627567784
487,ngunguru,-35.6167,174.5,10.65,88,62,3.42,NZ,1627567786
488,zhangye,38.9342,100.4517,29.35,13,6,1.69,CN,1627567788
489,canon city,38.441,-105.2424,26.11,47,40,1.54,US,1627567789
490,xixiang,35.1628,112.865,22.8,94,21,1.81,CN,1627567791
491,labuhan,-6.8844,112.2051,26.22,76,45,1.85,ID,1627567793
492,martyush,56.4,61.8819,20.3,44,96,3.82,RU,1627567795
493,mount gambier,-37.8333,140.7667,7.77,65,3,5.07,AU,1627567797
494,tromso,69.6496,18.957,18.36,67,0,7.72,NO,1627567799
495,batagay-alyta,67.8006,130.4114,9.48,54,100,1.0,RU,1627567800
496,chauk,20.8833,94.8167,28.73,70,45,5.56,MM,1627567805
497,sur,22.5667,59.5289,40.26,33,83,6.45,OM,1627567809
498,roald,62.5833,6.1333,23.98,83,0,4.12,NO,1627567811
499,outlook,51.5001,-107.0513,21.61,38,100,4.07,CA,1627567813
500,vasilsursk,56.1275,46.0072,18.46,78,100,2.98,RU,1627567817
501,wenatchee,47.4235,-120.3103,23.0,46,1,0.89,US,1627567806
502,vila franca do campo,37.7167,-25.4333,23.23,70,50,3.03,PT,1627567820
503,placido de castro,-10.3353,-67.1856,21.58,20,0,4.15,BR,1627567822
504,cockburn town,21.4612,-71.1419,27.8,74,1,8.96,TC,1627567825
505,eureka,40.8021,-124.1637,11.43,82,5,1.05,US,1627567530
506,zaysan,47.4667,84.8667,18.31,37,0,1.31,KZ,1627567828
507,sao jose da coroa grande,-8.8978,-35.1478,26.53,68,15,2.12,BR,1627567830
508,riohacha,11.5444,-72.9072,29.44,65,55,4.96,CO,1627567832
509,gushikawa,26.3544,127.8686,27.57,85,1,2.06,JP,1627567834
510,martigny,46.0833,7.0833,28.15,36,1,2.89,CH,1627567835
511,zamora,-4.0692,-78.9567,20.19,97,96,1.69,EC,1627567837
512,guajara,-2.9667,-57.6667,32.12,31,99,1.77,BR,1627567839
513,marsh harbour,26.5412,-77.0636,28.86,71,3,5.0,BS,1627567841
514,simpang,-1.2667,104.0833,24.8,78,71,0.66,ID,1627567843
515,paita,-5.0892,-81.1144,20.31,78,76,3.85,PE,1627567845
516,rio grande,-32.035,-52.0986,9.06,67,10,7.61,BR,1627567638
517,wuwei,37.9281,102.6414,26.24,18,2,1.28,CN,1627567850
518,bonthe,7.5264,-12.505,27.97,61,94,4.57,SL,1627567852
519,kibala,9.1104,18.3463,28.39,72,98,2.11,TD,1627567854
520,buchanan,5.8808,-10.0467,27.82,60,92,3.54,LR,1627567856
521,mahibadhoo,3.7833,72.9667,28.4,70,99,4.48,MV,1627567857
522,gumdag,39.2061,54.5906,33.92,26,47,3.23,TM,1627567860
523,novosil,52.9739,37.0405,27.19,50,65,3.71,RU,1627567862
524,boma,7.0805,-2.1697,30.75,45,98,1.89,GH,1627567864
525,thyolo,-16.0678,35.1405,19.94,45,81,2.18,MW,1627567866
526,vao,-22.6667,167.4833,21.46,71,18,5.69,NC,1627567868
527,klyuchevskiy,53.5317,119.4519,13.1,96,78,1.8,RU,1627567869
528,izumo,35.3667,132.7667,24.06,92,3,1.38,JP,1627567871
529,sergiyevsk,53.9413,51.165,19.21,71,100,3.13,RU,1627567873
530,chara,56.9064,118.2631,15.27,66,2,3.24,RU,1627567876
531,grindavik,63.8424,-22.4338,17.26,67,0,3.6,IS,1627567879
532,faya,18.3851,42.4509,22.29,54,79,4.93,SA,1627567882
533,sangar,63.9242,127.4739,13.48,45,81,1.84,RU,1627567884
534,nchelenge,-9.3451,28.734,26.24,36,0,3.74,ZM,1627567886
535,barcelos,41.5388,-8.6151,31.82,44,6,5.47,PT,1627567888
536,japura,-0.3167,102.35,26.67,69,96,1.58,ID,1627567892
537,tungor,53.3808,142.9564,16.91,98,100,4.34,RU,1627567893
538,kedrovyy,56.1667,91.8167,15.23,69,79,0.8,RU,1627567895
539,dembi dolo,8.5333,34.8,17.2,87,100,2.41,ET,1627567899
540,assiniboia,49.6334,-105.9845,22.48,32,88,5.5,CA,1627567893
541,sola,-13.8833,167.55,26.33,78,79,3.95,VU,1627567902
542,gorodovikovsk,46.0878,41.9335,33.41,19,0,2.76,RU,1627567904
543,igurubi,-4.0,33.7,30.46,22,9,4.44,TZ,1627567906
544,fukue,32.6881,128.8419,26.42,77,100,1.62,JP,1627567910
545,mapiripan,2.8892,-72.1256,26.68,76,40,0.37,CO,1627567912
546,goderich,43.7501,-81.7165,22.17,89,94,7.23,CA,1627567914
547,hambantota,6.1241,81.1185,27.77,76,85,9.75,LK,1627567916
548,byron bay,-28.65,153.6167,16.97,54,0,4.35,AU,1627567787
549,qandala,11.472,49.8728,32.51,55,76,3.33,SO,1627567921
550,valkeakoski,61.2642,24.0312,22.27,57,64,7.0,FI,1627567923
551,pangai,-19.8,-174.35,23.32,72,95,7.08,TO,1627567925
552,krasnoselkup,65.7,82.4667,18.27,60,100,7.17,RU,1627567927
553,ginda,30.6945,78.4932,20.0,91,100,0.33,IN,1627567929
554,vila velha,-20.3297,-40.2925,17.97,82,75,8.23,BR,1627567871
555,matara,5.9485,80.5353,26.41,87,98,5.14,LK,1627567932
556,bokoro,12.3807,17.0568,32.84,47,65,1.55,TD,1627567934
557,marawi,7.9986,124.2928,21.31,88,97,1.96,PH,1627567841
558,la palma,33.8464,-118.0467,26.86,87,1,0.45,US,1627567938
559,mazabuka,-15.856,27.748,23.15,25,48,4.33,ZM,1627567940
560,istisu,40.9457,48.0738,22.11,59,46,2.09,AZ,1627567942
561,winnemucca,40.973,-117.7357,17.03,34,1,0.0,US,1627567944
562,havre-saint-pierre,50.2334,-63.5986,11.55,83,100,3.04,CA,1627567946
563,campo verde,-20.4167,-54.0667,10.56,30,10,4.26,BR,1627567948
